,sentence,target,target_type,category,polarity,opinin_Term
1020,"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",tramezzinis,explicit,FOOD STYLE_OPTIONS,positive,large selection
1021,Give it a try and enjoy .,NULL,implicit,RESTAURANT GENERAL,positive,enjoy
1022,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",beers,explicit,DRINKS STYLE_OPTIONS,positive,happy
1023,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",food,explicit,FOOD QUALITY,positive,delicious
1024,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",pumkin tortelini,explicit,FOOD QUALITY,positive,recommend
1025,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone .,NULL,implicit,FOOD QUALITY,negative,old canned vegetables
1026,Decent wine at reasonable prices .,wine,explicit,DRINKS QUALITY,positive,Decent
1027,Decent wine at reasonable prices .,wine,explicit,DRINKS PRICES,positive,reasonable
1028,"First of all , this place is *not* romantic , as claimed by Citysearch 's editorial review .",place,explicit,AMBIENCE GENERAL,negative,*not* romantic
1029,"If you go , try the marinara/arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm ... .. everything is just delicious .",marinara/arrabiatta sauce,explicit,FOOD QUALITY,positive,try
1030,"If you go , try the marinara/arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm ... .. everything is just delicious .",marinara/arrabiatta sauce,explicit,FOOD QUALITY,positive,delicious
1031,"If you go , try the marinara/arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm ... .. everything is just delicious .",mozzarella en Carozza,explicit,FOOD QUALITY,positive,delicious
1032,"If you go , try the marinara/arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm ... .. everything is just delicious .",NULL,implicit,FOOD QUALITY,positive,delicious
1033,Have been several times and it never dissapoints .,NULL,implicit,RESTAURANT GENERAL,positive,never dissapoints
1034,Quick and friendly service .,service,explicit,SERVICE GENERAL,positive,Quick
1035,Quick and friendly service .,service,explicit,SERVICE GENERAL,positive,friendly
1036,"Not only is the cuisine the best around , the service has always been attentive and charming .",cuisine,explicit,FOOD QUALITY,positive,best
1037,"Not only is the cuisine the best around , the service has always been attentive and charming .",service,explicit,SERVICE GENERAL,positive,attentive
1038,"Not only is the cuisine the best around , the service has always been attentive and charming .",service,explicit,SERVICE GENERAL,positive,charming
1039,Avoid this place !,place,explicit,RESTAURANT GENERAL,negative,Avoid
1040,This place is not worth the prices .,place,explicit,RESTAURANT GENERAL,negative,not worth the prices
1041,This place is not worth the prices .,place,explicit,RESTAURANT PRICES,negative,not worth the prices
1042,"For those that go once and do n't enjoy it , all I can say is that they just do n't get it .",NULL,implicit,RESTAURANT MISCELLANEOUS,positive,enjoy
1043,The menu is limited but almost all of the dishes are excellent .,menu,explicit,FOOD STYLE_OPTIONS,negative,limited
1044,The menu is limited but almost all of the dishes are excellent .,dishes,explicit,FOOD QUALITY,positive,excellent
1045,"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels,explicit,FOOD QUALITY,positive,warm
1046,"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels,explicit,FOOD QUALITY,positive,soft
1047,"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels,explicit,FOOD QUALITY,positive,crispy
1048,"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels,explicit,FOOD STYLE_OPTIONS,positive,enormous
1049,The staff is incredibly helpful and attentive .,staff,explicit,SERVICE GENERAL,positive,helpful
1050,The staff is incredibly helpful and attentive .,staff,explicit,SERVICE GENERAL,positive,attentive
1051,I / we will never go back to this place again .,place,explicit,RESTAURANT GENERAL,negative,never go back
1052,Pizza was a little soggy .,Pizza,explicit,FOOD QUALITY,negative,soggy
1053,The food was good too .,food,explicit,FOOD QUALITY,positive,good
1054,"With so many poor experiences to be had in the theater district , is truly an excellent find !",NULL,implicit,RESTAURANT GENERAL,positive,excellent
1055,We thought that this place is using too much of MSG cooking in the foods .,foods,explicit,FOOD QUALITY,negative,using too much of MSG
1056,I have been going back again and again .,NULL,implicit,RESTAURANT GENERAL,positive,going back again and again
1057,it 's the only place you can get yummy authentic japanese comfort food .,japanese comfort food,explicit,FOOD QUALITY,positive,yummy authentic
1058,I will go back to Suan soon !,Suan,explicit,RESTAURANT GENERAL,positive,go back
1059,"We recently decided to try this location , and to our delight , they have outdoor seating , perfect since I had my yorkie with me .",outdoor seating,explicit,AMBIENCE GENERAL,positive,perfect
1060,The food was actually aweful .,food,explicit,FOOD QUALITY,negative,aweful
1061,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,caviar,explicit,FOOD QUALITY,positive,delicious top grade
1062,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,service,explicit,SERVICE GENERAL,positive,fantastic
1063,I am happy i did the food was awsome .,food,explicit,FOOD QUALITY,positive,awsome
1064,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai .,beef and noodle soup dishes,explicit,FOOD QUALITY,negative,nothing we got was Thai
1065,A Thai restaurant out of rice during dinner ?,Thai restaurant,explicit,RESTAURANT MISCELLANEOUS,negative,out of rice
1066,"When you add it all together , it just does n't seem worth it to me ... especially considering the prices .",NULL,implicit,RESTAURANT GENERAL,negative,does n't seem worth it
1067,This is the best sushi in new york city - hands down .,sushi,explicit,FOOD QUALITY,positive,best
1068,"When we stumbled on Leon , we thought that we had found quite the gem BUT , we were certainly wrong .",Leon,explicit,RESTAURANT GENERAL,negative,certainly wrong
1069,Mermaid Inn is an overall good restaurant with really good seafood .,seafood,explicit,FOOD QUALITY,positive,good
1070,Mermaid Inn is an overall good restaurant with really good seafood .,Mermaid Inn,explicit,RESTAURANT GENERAL,positive,good
1071,And it was quick which is very important .,NULL,implicit,SERVICE GENERAL,positive,quick
1072,Service was good and food is wonderful .,Service,explicit,SERVICE GENERAL,positive,good
1073,Service was good and food is wonderful .,food,explicit,FOOD QUALITY,positive,wonderful
1074,The service was excellent and the food was delicious .,service,explicit,SERVICE GENERAL,positive,excellent
1075,The service was excellent and the food was delicious .,food,explicit,FOOD QUALITY,positive,delicious
1076,"A few tips : skip the turnip cake , roast pork buns and egg custards .",turnip cake,explicit,FOOD QUALITY,negative,skip
1077,"A few tips : skip the turnip cake , roast pork buns and egg custards .",roast pork buns,explicit,FOOD QUALITY,negative,skip
1078,"A few tips : skip the turnip cake , roast pork buns and egg custards .",egg custards,explicit,FOOD QUALITY,negative,skip
1079,The portions are small but being that the food was so good makes up for that .,portions,explicit,FOOD STYLE_OPTIONS,negative,small
1080,The portions are small but being that the food was so good makes up for that .,food,explicit,FOOD QUALITY,positive,good
1081,It 's a nice place to relax and have conversation .,place,explicit,AMBIENCE GENERAL,positive,nice
1082,"When we sat , we got great and fast service .",service,explicit,SERVICE GENERAL,positive,great
1083,"When we sat , we got great and fast service .",service,explicit,SERVICE GENERAL,positive,fast
1084,THE BIG COMPLAINT : NO TOASTING AVAILABLE .,NULL,implicit,SERVICE GENERAL,negative,COMPLAINT
1085,The food was exceptional .,food,explicit,FOOD QUALITY,positive,exceptional
1086,I LOVE their Thai,Thai,explicit,FOOD QUALITY,positive,LOVE
1087,People are always friendly .,People,explicit,SERVICE GENERAL,positive,friendly
1088,Haru on Park S is simply disgusting .,Haru on Park S,explicit,RESTAURANT GENERAL,negative,disgusting
1089,This place is a great bargain .,place,explicit,RESTAURANT PRICES,positive,great bargain
1090,My wife had the fried shrimp which are huge and loved it .,fried shrimp,explicit,FOOD STYLE_OPTIONS,positive,huge
1091,My wife had the fried shrimp which are huge and loved it .,fried shrimp,explicit,FOOD QUALITY,positive,loved
1092,"Toons has recently been redone , so it 's now a very attractive space .",Toons,explicit,AMBIENCE GENERAL,positive,attractive
1093,Nice Family owned traditional restaurant .,restaurant,explicit,RESTAURANT GENERAL,positive,traditional
1094,This is a fun restaurant to go to .,restaurant,explicit,RESTAURANT GENERAL,positive,fun
1095,delicious simple food in nice outdoor atmosphere .,food,explicit,FOOD QUALITY,positive,delicious simple
1096,delicious simple food in nice outdoor atmosphere .,food,explicit,FOOD STYLE_OPTIONS,positive,delicious simple
1097,delicious simple food in nice outdoor atmosphere .,outdoor atmosphere,explicit,AMBIENCE GENERAL,positive,nice
1098,In summer-eat outside on a terrace ( another great feature of Suan ) ! ! !,terrace,explicit,AMBIENCE GENERAL,positive,great
1099,Was surprisingly disappointed .,NULL,implicit,FOOD QUALITY,negative,surprisingly disappointed
1100,The decor is very simple but comfortable .,decor,explicit,AMBIENCE GENERAL,positive,simple
1101,The decor is very simple but comfortable .,decor,explicit,AMBIENCE GENERAL,positive,comfortable
1102,Surprisingly nothing could be further from the truth .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,be further from the truth
1103,Always good drinks and service is pretty good ;,drinks,explicit,DRINKS QUALITY,positive,good
1104,Always good drinks and service is pretty good ;,service,explicit,SERVICE GENERAL,positive,good
1105,"Their sake list was extensive , but we were looking for Purple Haze , which was n't listed but made for us upon request !",sake list,explicit,DRINKS STYLE_OPTIONS,positive,extensive
1106,"Their sake list was extensive , but we were looking for Purple Haze , which was n't listed but made for us upon request !",NULL,implicit,SERVICE GENERAL,positive,made for us upon request
1107,I was very disappointed with this restaurant .,restaurant,explicit,RESTAURANT GENERAL,negative,disappointed
1108,We ate at this Thai place following the reviews but very unhappy with the foods .,foods,explicit,FOOD QUALITY,negative,unhappy
1109,"We did tip , I guess the model /waitress just wanted more and complained to the manager .",waitress,explicit,SERVICE GENERAL,negative,complained
1110,"To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .",food,explicit,FOOD QUALITY,positive,above average
1111,"To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .",Teodora,explicit,RESTAURANT GENERAL,negative,deficiencies
1112,It is definitely a good spot for snacks and chat .,spot,explicit,RESTAURANT GENERAL,positive,good
1113,"I got the $ 10 10-piece dim sum combo , every bite of which was great .",$ 10 10-piece dim sum combo,explicit,FOOD QUALITY,positive,great
1114,We had a great time at the Jekyll and hyde Pub last night .,Jekyll and hyde Pub,explicit,RESTAURANT GENERAL,positive,great time
1115,Keep up the good work guys !,NULL,implicit,RESTAURANT GENERAL,positive,good
1116,the all-u-can-eat sushi is definitely in very poor quality .,all-u-can-eat sushi,explicit,FOOD QUALITY,negative,poor quality
1117,Great sushi experience .,sushi,explicit,FOOD QUALITY,positive,Great
1118,The duck confit is always amazing and the foie gras terrine with figs was out of this world .,foie gras terrine with figs,explicit,FOOD QUALITY,positive,out of this world
1119,The duck confit is always amazing and the foie gras terrine with figs was out of this world .,duck confit,explicit,FOOD QUALITY,positive,amazing
1120,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,atmosphere,explicit,AMBIENCE GENERAL,negative,noisy
1121,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,waiters,explicit,SERVICE GENERAL,positive,fast
1122,The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,Prix Fixe menu,explicit,FOOD QUALITY,positive,worth
1123,The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,Prix Fixe menu,explicit,FOOD STYLE_OPTIONS,positive,worth
1124,The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,Prix Fixe menu,explicit,FOOD PRICES,positive,worth
1125,Sauce was watery and the food did n't have much flavor .,Sauce,explicit,FOOD QUALITY,negative,watery
1126,Sauce was watery and the food did n't have much flavor .,food,explicit,FOOD QUALITY,negative,did n't have much flavor
1127,Never have I had such dramatic delivery guys ( a lot of huffing and panting and muttering under breath b/c I live in a walkup ) who always seem disappointed with their tips .,delivery guys,explicit,SERVICE GENERAL,negative,dramatic
1128,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",staff,explicit,SERVICE GENERAL,negative,good
1129,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",Cafe Noir,explicit,RESTAURANT GENERAL,positive,great
1130,I stumbled upon this great pizzeria as I explored my new neighborhood .,pizzeria,explicit,RESTAURANT GENERAL,positive,great
1131,Prices too high for this cramped and unappealing resturant .,resturant,explicit,RESTAURANT PRICES,negative,high
1132,Prices too high for this cramped and unappealing resturant .,resturant,explicit,AMBIENCE GENERAL,negative,cramped
1133,Prices too high for this cramped and unappealing resturant .,resturant,explicit,AMBIENCE GENERAL,negative,unappealing
1134,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",NULL,implicit,FOOD QUALITY,positive,perfection
1135,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",service,explicit,SERVICE GENERAL,positive,excellent
1136,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor,explicit,AMBIENCE GENERAL,positive,cool
1137,"Everything is always cooked to perfection , the service is excellent , the decor cool and understated .",decor,explicit,AMBIENCE GENERAL,positive,understated
1138,Everything about this restaurant was special .,restaurant,explicit,RESTAURANT GENERAL,positive,special
1139,Warm and friendly in the winter and terrific outdoor seating in the warmer months .,NULL,implicit,AMBIENCE GENERAL,positive,Warm
1140,Warm and friendly in the winter and terrific outdoor seating in the warmer months .,NULL,implicit,AMBIENCE GENERAL,positive,friendly
1141,Warm and friendly in the winter and terrific outdoor seating in the warmer months .,outdoor seating,explicit,AMBIENCE GENERAL,positive,terrific
1142,I have been to Roth 's twice and both times were very disappointing .,Roth 's,explicit,RESTAURANT GENERAL,negative,disappointing
1143,Best Pastrami I ever had and great portion without being ridiculous .,Pastrami,explicit,FOOD QUALITY,positive,Best
1144,Best Pastrami I ever had and great portion without being ridiculous .,portion,explicit,FOOD STYLE_OPTIONS,positive,great
1145,"Service here was great , food was fantastic .",Service,explicit,SERVICE GENERAL,positive,great
1146,"Service here was great , food was fantastic .",food,explicit,FOOD QUALITY,positive,fantastic
1147,"If celebrities make you sweat , then your in for a ride , but if your like most around these parts then you 'll just yawn and wonder whats with all the hype .",NULL,implicit,RESTAURANT MISCELLANEOUS,negative,yawn
1148,"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",NULL,implicit,AMBIENCE GENERAL,neutral,packed
1149,"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",vibe,explicit,AMBIENCE GENERAL,positive,good
1150,"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",French food,explicit,FOOD QUALITY,positive,best
1151,love the food .,food,explicit,FOOD QUALITY,positive,love
1152,The combination of super-fresh ingredients in the dishes are unusual but really delicious .,ingredients,explicit,FOOD QUALITY,positive,super-fresh
1153,The combination of super-fresh ingredients in the dishes are unusual but really delicious .,ingredients,explicit,FOOD QUALITY,positive,delicious
1154,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,cart attendant,explicit,SERVICE GENERAL,negative,walked away
1155,I pray it stays open forever .,NULL,implicit,RESTAURANT GENERAL,positive,stays open forever
1156,"Service was slow , but the people were friendly .",Service,explicit,SERVICE GENERAL,negative,slow
1157,"Service was slow , but the people were friendly .",people,explicit,SERVICE GENERAL,positive,friendly
1158,Lucky Strike is a great casual place to just grab a bite to eat .,Lucky Strike,explicit,RESTAURANT GENERAL,positive,great casual
1159,The food is amazing ... especially if you get the Chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,food,explicit,FOOD QUALITY,positive,amazing
1160,The food is amazing ... especially if you get the Chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,selection of wines,explicit,DRINKS STYLE_OPTIONS,positive,extensive
1161,The food is amazing ... especially if you get the Chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,Chef 's tasting menu,explicit,FOOD QUALITY,positive,favourite
1162,Baluchi 's has solid food and a nice decor at reasonable prices .,food,explicit,FOOD QUALITY,positive,solid
1163,Baluchi 's has solid food and a nice decor at reasonable prices .,decor,explicit,AMBIENCE GENERAL,positive,nice
1164,Baluchi 's has solid food and a nice decor at reasonable prices .,Baluchi 's,explicit,RESTAURANT PRICES,positive,solid
1165,"As many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .",NULL,implicit,SERVICE GENERAL,neutral,slow
1166,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",service,explicit,SERVICE GENERAL,positive,impeccable
1167,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",service,explicit,SERVICE GENERAL,positive,unobtrusive
1168,I have been to Rao 's probably 15 times the past 3 years and it keeps getting better .,Rao 's,explicit,RESTAURANT GENERAL,positive,better
1169,I will be out with friends and all of a sudden I am hungry and I only crave one thing ... their Pizza .,Pizza,explicit,FOOD QUALITY,positive,crave
1170,"The atmosphere is nothing special , but it feels like a Sushi establishment in Tokyo .",atmosphere,explicit,AMBIENCE GENERAL,positive,nothing special
1171,IT WAS HORRIBLE .,NULL,implicit,RESTAURANT GENERAL,negative,HORRIBLE
1172,"But , they were too big for the bun .",NULL,implicit,FOOD STYLE_OPTIONS,negative,too big
1173,Thanks Bloom 's for a lovely trip .,Bloom 's,explicit,RESTAURANT GENERAL,positive,Thanks
1174,Thanks Bloom 's for a lovely trip .,Bloom 's,explicit,RESTAURANT GENERAL,positive,lovely
1175,I love it .,NULL,implicit,RESTAURANT GENERAL,positive,love
1176,Spreads and toppings are great - though a bit pricey .,Spreads,explicit,FOOD QUALITY,positive,great
1177,Spreads and toppings are great - though a bit pricey .,toppings,explicit,FOOD QUALITY,positive,great
1178,Spreads and toppings are great - though a bit pricey .,Spreads,explicit,FOOD PRICES,negative,pricey
1179,Spreads and toppings are great - though a bit pricey .,toppings,explicit,FOOD PRICES,negative,pricey
1180,The food 's as good as ever .,food,explicit,FOOD QUALITY,positive,good
1181,Decor is charming .,Decor,explicit,AMBIENCE GENERAL,positive,charming
1182,The food was good .,food,explicit,FOOD QUALITY,positive,good
1183,"Delicate spices , onions , eggs and a kick-ass roti .",spices,explicit,FOOD QUALITY,positive,Delicate
1184,"Delicate spices , onions , eggs and a kick-ass roti .",onions,explicit,FOOD QUALITY,positive,Delicate
1185,"Delicate spices , onions , eggs and a kick-ass roti .",eggs,explicit,FOOD QUALITY,positive,Delicate
1186,"Delicate spices , onions , eggs and a kick-ass roti .",roti,explicit,FOOD QUALITY,positive,kick-ass
1187,"The pesto pizza was excellent , thin-crust pizza with a nice amount of spicy Italian cheese that I 'd never heard of before .",pesto pizza,explicit,FOOD QUALITY,positive,excellent
1188,"The pesto pizza was excellent , thin-crust pizza with a nice amount of spicy Italian cheese that I 'd never heard of before .",spicy Italian cheese,explicit,FOOD QUALITY,positive,nice
1189,Wonderful at holiday time .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,Wonderful
1190,The food is great and they have a good selection of wines at reasonable prices .,food,explicit,FOOD QUALITY,positive,great
1191,The food is great and they have a good selection of wines at reasonable prices .,wines,explicit,DRINKS STYLE_OPTIONS,positive,good selection
1192,The food is great and they have a good selection of wines at reasonable prices .,wines,explicit,DRINKS PRICES,positive,good selection
1193,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring .,meals,explicit,FOOD QUALITY,negative,edible
1194,Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring .,rosemary or orange flavoring,explicit,FOOD QUALITY,negative,weird
1195,I would defiantly come back here again as one of my top choices .,NULL,implicit,RESTAURANT GENERAL,positive,top choices
1196,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan .,food,explicit,FOOD QUALITY,positive,like being back in Japan
1197,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan .,feel,explicit,AMBIENCE GENERAL,positive,like being back in Japan
1198,"I found the food , service and value exceptional everytime I have been there .",food,explicit,FOOD QUALITY,positive,exceptional
1199,"I found the food , service and value exceptional everytime I have been there .",service,explicit,SERVICE GENERAL,positive,exceptional
1200,"I found the food , service and value exceptional everytime I have been there .",value,explicit,RESTAURANT PRICES,positive,exceptional
1201,The rice was poor quality and was cooked so badly it was hard .,rice,explicit,FOOD QUALITY,negative,poor quality
1202,The rice was poor quality and was cooked so badly it was hard .,rice,explicit,FOOD QUALITY,negative,cooked so badly
1203,The rice was poor quality and was cooked so badly it was hard .,rice,explicit,FOOD QUALITY,negative,hard
1204,The food now is inconsistent .,food,explicit,FOOD QUALITY,negative,inconsistent
1205,Cute and decorative .,NULL,implicit,AMBIENCE GENERAL,positive,Cute
1206,Cute and decorative .,NULL,implicit,AMBIENCE GENERAL,positive,decorative
1207,This place is always very crowded and popular .,place,explicit,RESTAURANT MISCELLANEOUS,positive,crowded
1208,This place is always very crowded and popular .,place,explicit,RESTAURANT MISCELLANEOUS,positive,popular
1209,"When you 're sitting in their main dining room ( which has a spectacular , hand-painted high ceiling ) you 'd never know there was a world outside .",main dining room,explicit,AMBIENCE GENERAL,positive,spectacular
1210,"When you 're sitting in their main dining room ( which has a spectacular , hand-painted high ceiling ) you 'd never know there was a world outside .",ceiling,explicit,AMBIENCE GENERAL,positive,spectacular
1211,"When you 're sitting in their main dining room ( which has a spectacular , hand-painted high ceiling ) you 'd never know there was a world outside .",ceiling,explicit,AMBIENCE GENERAL,positive,hand-painted high
1212,"sometimes i get bad food and bad service , sometimes i get good good and bad service .",food,explicit,FOOD QUALITY,negative,bad
1213,"sometimes i get bad food and bad service , sometimes i get good good and bad service .",service,explicit,SERVICE GENERAL,negative,bad
1214,"sometimes i get bad food and bad service , sometimes i get good good and bad service .",service,explicit,SERVICE GENERAL,negative,bad
1215,"sometimes i get bad food and bad service , sometimes i get good good and bad service .",good,explicit,FOOD QUALITY,positive,good
1216,There is a lot of variety even for people who eat vegetarian like me .,NULL,implicit,FOOD STYLE_OPTIONS,positive,a lot of variety
1217,"whoever the jazz duo was , they were on POINT .",jazz duo,explicit,AMBIENCE GENERAL,positive,on POINT
1218,"Most importantly , food is excellent .",food,explicit,FOOD QUALITY,positive,excellent
1219,I was pleasantly surprised to find this gem in Hoboken .,NULL,implicit,RESTAURANT GENERAL,positive,pleasantly surprised
1220,noodles with shrimp and chicken and coconut juice is the MUST !,noodles with shrimp and chicken and coconut juice,explicit,FOOD QUALITY,positive,MUST
1221,"However , I think this place is a good hang out spot .",place,explicit,AMBIENCE GENERAL,positive,good
1222,"This is the perfect spot for meeting friends , having lunch , dinner , pre-theatre or after-theatre drinks !",spot,explicit,RESTAURANT MISCELLANEOUS,positive,perfect
1223,It is expensive but well worth the money .,NULL,implicit,RESTAURANT PRICES,negative,expensive
1224,It is expensive but well worth the money .,NULL,implicit,RESTAURANT GENERAL,positive,well worth
1225,Cozy romantic atomosphere with only around 15 tables at most .,atomosphere,explicit,AMBIENCE GENERAL,positive,Cozy romantic
1226,It 's a rather cramped and busy restaurant and it closes early .,restaurant,explicit,RESTAURANT MISCELLANEOUS,negative,closes early
1227,It 's a rather cramped and busy restaurant and it closes early .,restaurant,explicit,AMBIENCE GENERAL,negative,cramped
1228,It 's a rather cramped and busy restaurant and it closes early .,restaurant,explicit,AMBIENCE GENERAL,negative,busy
1229,Wine list is extensive without being over-priced .,Wine list,explicit,DRINKS STYLE_OPTIONS,positive,extensive without being over-priced
1230,Wine list is extensive without being over-priced .,Wine list,explicit,DRINKS PRICES,positive,extensive without being over-priced
1231,And even with it 's Pub atmosphere they were great to my kids too !,NULL,implicit,SERVICE GENERAL,positive,great
1232,I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED !,Heartland Brewery,explicit,RESTAURANT GENERAL,positive,NEVER BEEN DISAPPOINTED
1233,Right off the L in Brooklyn this is a nice cozy place with good pizza .,pizza,explicit,FOOD QUALITY,positive,good
1234,Right off the L in Brooklyn this is a nice cozy place with good pizza .,place,explicit,AMBIENCE GENERAL,positive,nice cozy
1235,The food here does a great service to the name ( Cantonese that is ... ) .,food,explicit,FOOD QUALITY,positive,great
1236,Myagi is one of my favorite restaurants in the City ; the place the negative reviews describe sound like they were somewhere else .,Myagi,explicit,RESTAURANT GENERAL,positive,favorite
1237,Wouldn 't recomend it for dinner !,NULL,implicit,RESTAURANT GENERAL,negative,Wouldn 't recomend
1238,I ordered the smoked salmon and roe appetizer and it was off flavor .,smoked salmon and roe appetizer,explicit,FOOD QUALITY,negative,off flavor
1239,The food was average or above including some surprising tasty dishes .,food,explicit,FOOD QUALITY,positive,average or above
1240,The food was average or above including some surprising tasty dishes .,dishes,explicit,FOOD QUALITY,positive,tasty
1241,And really large portions .,portions,explicit,FOOD STYLE_OPTIONS,positive,large
1242,"Service , however , was excellent ... and I liked the setting/atmosphere a lot .",Service,explicit,SERVICE GENERAL,positive,excellent
1243,"Service , however , was excellent ... and I liked the setting/atmosphere a lot .",setting/atmosphere,explicit,AMBIENCE GENERAL,positive,liked
1244,I highly recommend it .,NULL,implicit,RESTAURANT GENERAL,positive,recommend
1245,fine dining restaurant quality .,dining,explicit,FOOD QUALITY,positive,fine
1246,"Nice atmosphere , the service was very pleasant and the desert was good .",atmosphere,explicit,AMBIENCE GENERAL,positive,Nice
1247,"Nice atmosphere , the service was very pleasant and the desert was good .",service,explicit,SERVICE GENERAL,positive,pleasant
1248,"Nice atmosphere , the service was very pleasant and the desert was good .",desert,explicit,FOOD QUALITY,positive,good
1249,LOVE the atmosphere - felt like I was in Paris .,atmosphere,explicit,AMBIENCE GENERAL,positive,LOVE
1250,I would highly recommand requesting a table by the window .,table by the window,explicit,LOCATION GENERAL,positive,recommand
1251,"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",sushi,explicit,FOOD QUALITY,positive,great
1252,"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",thai food,explicit,FOOD QUALITY,positive,excellent
1253,"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",Planet Thailand,explicit,RESTAURANT GENERAL,positive,hit
1254,The flavors robust and subtle .,NULL,implicit,FOOD QUALITY,positive,robust
1255,The flavors robust and subtle .,NULL,implicit,FOOD QUALITY,positive,subtle
1256,"Still , any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house ...",NULL,implicit,RESTAURANT PRICES,neutral,quibbles
1257,"Still , any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house ...",measures of liquers,explicit,DRINKS STYLE_OPTIONS,positive,pour-your-own
1258,"Still , any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house ...",measures of liquers,explicit,DRINKS STYLE_OPTIONS,positive,courtesey
1259,The food was mediocre at best but it was the horrible service that made me vow never to go back .,food,explicit,FOOD QUALITY,negative,mediocre
1260,The food was mediocre at best but it was the horrible service that made me vow never to go back .,service,explicit,SERVICE GENERAL,negative,horrible
1261,Such a disappointment ...,NULL,implicit,SERVICE GENERAL,negative,disappointment
1262,Our food was great too !,food,explicit,FOOD QUALITY,positive,great
1263,"Overall , not worth the money .",NULL,implicit,RESTAURANT PRICES,negative,not worth
1264,"This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",place,explicit,RESTAURANT PRICES,negative,pricey
1265,"This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",food,explicit,FOOD QUALITY,positive,worth
1266,"This place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",service,explicit,SERVICE GENERAL,negative,paying a quater of the price
1267,The mussels were fantastic and so was the dessert ... definitely going to be back very soon .,mussels,explicit,FOOD QUALITY,positive,fantastic
